Sr. No.,Course  No.,Course Title,"Credits
L-T-P-C",Instructor,Msc/ Mtech/ PhD/ IphD,1st Sem,3rd Sem CS,3rd Sem EE,3rd Sem ME,3rd Sem CE,5th Sem CS,5th Sem EE,5th Sem ME,5th Sem CE,7th Sem CE,7th Sem CS,7th Sem EE,7th Sem ME,MV 1st sem,MV 3rd sem,MS 1st sem,MS 3rd sem,MP 1st sem,MP 3rd sem,MA 1st sem,MA 3rd sem,Mtech (EEM) 1st sem,Mtech (EEM) 3rd sem,Mtech  (MES) 1st sem,Mtech (MES) 3rd sem,Mtech (STE)  1st sem,Mtech (STE)  3rd sem,MT(Bio)1st,MT(Bio) 3rd,M.Sc (chem)  1st sem,M.Sc (Chem) 3rd sem,M.Sc (math)  1st sem,M.Sc (math)  3rd sem,M.Sc (Physics)  1st sem,M.Sc (Physics)  3rd sem,I-Ph.D. 1st sem,I-Ph.D. 3rd sem,I-Ph.D. 5th  sem,Competence
46,EE 519P,CMOS Digital IC design practicum,0-0-3-2,"rahul, GSR",MS/PhD,,,,,,,E,,,,,E,,C,C,,,,,,,,,,,,,,,,,,,,,,,,
47,EE 520,Microelectronics devices and modeling,3-0-0-3,SS,MS/PhD,,,,,,,E,,,,,E,,C,C,,,,,,,,,,,,,,,,,,,,,,,,
48,DP 401P,Major Technical Project,3-0-0-3,,,,,,,,,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,
49,CS 544,Formal Concept Analysis: Theory and Practice,3-0-0-3,SK,MS/PhD,,,,,,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CS 593,Special Topics in Compiler Design,3-0-0-3,Manas,MS/PhD,,,,,,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,CS 561,Map Reduce and Big Data,3-0-0-3,Arti,MS/PhD,,,,,,E,E,,,,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,CS 523,Verification of Reactive Systems,3-0-0-3,Astrid,MS/PhD,,,,,,E,,,,,E,,,E,E,,,,,,,,,,,,,,,,,,,,,,,,
53,CS 571,Programming Practicum,1-0-3-3,RP,MS/PhD,,,,,,,,E,,,,,,E,E,C,C,E,E,,,,,,,,,,,,,,,,,,,,
54,EE 608,Digital Image Processing,3-0-2-4,AKS,MS/PhD,,,,,,E,E,,,,E,E,,,E,,E,,,,,,,,,,,,,,,,,,,,,,
55,EE 503,Advanced Communication Theory,3-0-0-3,Adarsh,,,,,,,,E,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,EE 504,Switched Mode Power Conversion,2.5-0.5-0-3,NRT,MS/PhD,,,,,,,,,,,,E,,,E,,E,,,,,,,,,,,,,,,,,,,,,,
57,EE 508,Fundamentals of Electric Drives,3-0-0-3,HM,MS/PhD,,,,,,,,,,,,E,,,,,,C,,,,,,,,,,,,,,,,,,,,,
