Sr. No.,Course  No.,Course Title,"Credits
L-T-P-C",Instructor,Msc/ Mtech/ PhD/ IphD,1st Sem,3rd Sem CS,3rd Sem EE,3rd Sem ME,3rd Sem CE,5th Sem CS,5th Sem EE,5th Sem ME,5th Sem CE,7th Sem CE,7th Sem CS,7th Sem EE,7th Sem ME,MV 1st sem,MV 3rd sem,MS 1st sem,MS 3rd sem,MP 1st sem,MP 3rd sem,MA 1st sem,MA 3rd sem,Mtech (EEM) 1st sem,Mtech (EEM) 3rd sem,Mtech  (MES) 1st sem,Mtech (MES) 3rd sem,Mtech (STE)  1st sem,Mtech (STE)  3rd sem,MT(Bio)1st,MT(Bio) 3rd,M.Sc (chem)  1st sem,M.Sc (Chem) 3rd sem,M.Sc (math)  1st sem,M.Sc (math)  3rd sem,M.Sc (Physics)  1st sem,M.Sc (Physics)  3rd sem,I-Ph.D. 1st sem,I-Ph.D. 3rd sem,I-Ph.D. 5th  sem,Competence
160,CY-522,Computational Chemistry,3-0-0-3,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
161,CY 508,Organometallic Chemistry,2-0-0-2,PCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
162,DP 503P,Basic Mechanical and Electrical Workshop,0-0-4-2,PFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
163,DP 504P,Mini Project,0-0-8-4,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
164,HS 541,Technical Communication,1-0-0-1,Suman S,,,,,,,,,,,,,,,,C,,C,,C,,,,C,,C,,C,,C,,,,,,,,,,
165,HS 522,Research Methodology to Social Science,3-0-0-3,"surya,SDG",PhD,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,
166,HS 525,History of Development Thoughts,3-0-0-3,"SDG,RD",PhD,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,
167,HS 526,Human Geography: A Western Himalayan Perspective,3-0-0-3,Devika/Ramna,PhD,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,
168,HS 527,Indian Social Structure and Development,3-0-0-3,NC,PhD,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,
169,HS 528,Information Technology and Development,3-0-0-3,VD/SRC,PhD,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,
170,HS 529,Natural Resource and Development,3-0-0-3,Powar/Atul/SKM,PhD,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,
171,HS 552P,Development Studies Practicum 2,0-0-8-4,Suman S,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,
172,HS 535,Financial Inclusion in India,3-0-0-3,Puran,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,Free Elective
173,HS 553P,Field Study,0-0-8-4,SDG,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,
174,HS 538,Development Economics,3-0-0-3,Ramna,PhD,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,Free Elective
175,HS 537,Post-Reform India,3-0-0-3,surya,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,Free Elective
176,HS 620,Popular Narratives,3-0-0-3,Suman S,PhD,,,,,,E,E,E,E,E,E,E,E,,,,,,,,E,,,,,,,,,,,,,,,,,,Free Elective
177,HS 621,Advance Qualitative Research Methods,4-0-0-4,MVD ,PhD,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,Free Elective
178,HS 631,Historical Theory and Methodology,3-0-0-3,MVD ,PhD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Elective
179,EN 504,Energy:Environment Policy and Law,3-0-0-3,"SDG, VR",PhD,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,
180,HS 591,Special Topics in Personal Finance and Wealth Management,1-0-0-1,Mr. Raja Sekharan LC: Puran,PhD,,,,,,E,E,E,E,E,E,E,E,,E,,E,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,
181,HS 591,Special Topics in Higher Education and Development ,1-0-0-1,Dr. Debananda Misra   LC: Ramna,,,,,,,E,E,E,E,E,E,E,E,,,,,,,E,E,,,,,,,,,,,,,,,,,,
182,EE 591,Selected Topics in Electric Machine Design,1-0-0-1,Er. Sabyasachi Roy LC:BSR,,,,,,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,,E,E,E,E,E,E,,,,,,,,,,,,
183,RM 600,Research Methodology ,1-0-0-1,RV  ,MS/PhD,,,,,,,,,,,,,,E,E,E,E,E,E,,,E,E,E,E,E,E,E,E,,,,,,,,,,
184,CE 591,Special Topics in Strucutral Engineering: Detailing Concrete Structures with the help of Strut and Tie Models,1-0-0-1,Prof. Balthasar Novak (LC Sandip Saha),MS/PhD,,,,,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,E,E,,,,,,,,,,,,
